file,phase,node,ops,elapsed_us
/root/code/tigon2/exp_data/ycsb-smoke-scc/round_logs/round1-workloadA-load/vm0.log,load,0,13,71072
/root/code/tigon2/exp_data/ycsb-smoke-scc/round_logs/round1-workloadA-load/vm1.log,load,1,12,33868
/root/code/tigon2/exp_data/ycsb-smoke-scc/round_logs/round1-workloadA-load/vm2.log,load,2,13,57796
/root/code/tigon2/exp_data/ycsb-smoke-scc/round_logs/round1-workloadA-load/vm3.log,load,3,12,147
/root/code/tigon2/exp_data/ycsb-smoke-scc/round_logs/round1-workloadA-run/vm0.log,run,0,21,8781
/root/code/tigon2/exp_data/ycsb-smoke-scc/round_logs/round1-workloadA-run/vm1.log,run,1,17,7057
/root/code/tigon2/exp_data/ycsb-smoke-scc/round_logs/round1-workloadA-run/vm2.log,run,2,19,4583
/root/code/tigon2/exp_data/ycsb-smoke-scc/round_logs/round1-workloadA-run/vm3.log,run,3,18,149
