file,phase,node,ops,elapsed_us
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round07/round1-workloadA-load/vm0.log,load,0,25000,571098
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round07/round1-workloadA-load/vm1.log,load,1,25000,298121
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round07/round1-workloadA-load/vm2.log,load,2,25000,313465
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round07/round1-workloadA-load/vm3.log,load,3,25000,308265
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round07/round1-workloadA-run/vm0.log,run,0,25000,351336
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round07/round1-workloadA-run/vm1.log,run,1,25000,346964
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round07/round1-workloadA-run/vm2.log,run,2,25000,340248
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round07/round1-workloadA-run/vm3.log,run,3,25000,340634
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round08/round1-workloadA-load/vm0.log,load,0,25000,541444
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round08/round1-workloadA-load/vm1.log,load,1,25000,300343
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round08/round1-workloadA-load/vm2.log,load,2,25000,294755
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round08/round1-workloadA-load/vm3.log,load,3,25000,293283
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round08/round1-workloadA-run/vm0.log,run,0,25000,332487
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round08/round1-workloadA-run/vm1.log,run,1,25000,347497
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round08/round1-workloadA-run/vm2.log,run,2,25000,310237
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round08/round1-workloadA-run/vm3.log,run,3,25000,327373
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round09/round1-workloadA-load/vm0.log,load,0,25000,594376
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round09/round1-workloadA-load/vm1.log,load,1,25000,331325
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round09/round1-workloadA-load/vm2.log,load,2,25000,319687
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round09/round1-workloadA-load/vm3.log,load,3,25000,311038
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round09/round1-workloadA-run/vm0.log,run,0,25000,331817
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round09/round1-workloadA-run/vm1.log,run,1,25000,343029
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round09/round1-workloadA-run/vm2.log,run,2,25000,314278
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round09/round1-workloadA-run/vm3.log,run,3,25000,332215
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round10/round1-workloadA-load/vm0.log,load,0,25000,543985
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round10/round1-workloadA-load/vm1.log,load,1,25000,290406
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round10/round1-workloadA-load/vm2.log,load,2,25000,297074
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round10/round1-workloadA-load/vm3.log,load,3,25000,303871
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round10/round1-workloadA-run/vm0.log,run,0,25000,331966
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round10/round1-workloadA-run/vm1.log,run,1,25000,316670
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round10/round1-workloadA-run/vm2.log,run,2,25000,336803
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10-concurrent/round10/round1-workloadA-run/vm3.log,run,3,25000,360572
