file,phase,node,ops,elapsed_us
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round07/round1-workloadA-run/vm0.log,run,0,25000,365460
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round07/round1-workloadA-run/vm1.log,run,1,25000,383987
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round07/round1-workloadA-run/vm2.log,run,2,25000,364357
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round07/round1-workloadA-run/vm3.log,run,3,25000,373617
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round08/round1-workloadA-load/vm0.log,load,0,25000,648391
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round08/round1-workloadA-load/vm1.log,load,1,25000,328046
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round08/round1-workloadA-load/vm2.log,load,2,25000,313734
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round08/round1-workloadA-load/vm3.log,load,3,25000,297279
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round08/round1-workloadA-run/vm0.log,run,0,25000,365336
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round08/round1-workloadA-run/vm1.log,run,1,25000,376787
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round08/round1-workloadA-run/vm2.log,run,2,25000,368573
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round08/round1-workloadA-run/vm3.log,run,3,25000,369920
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round09/round1-workloadA-load/vm0.log,load,0,25000,628612
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round09/round1-workloadA-load/vm1.log,load,1,25000,311143
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round09/round1-workloadA-load/vm2.log,load,2,25000,324390
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round09/round1-workloadA-load/vm3.log,load,3,25000,312071
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round09/round1-workloadA-run/vm0.log,run,0,25000,363080
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round09/round1-workloadA-run/vm1.log,run,1,25000,347262
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round09/round1-workloadA-run/vm2.log,run,2,25000,376532
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round09/round1-workloadA-run/vm3.log,run,3,25000,373309
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round10/round1-workloadA-load/vm0.log,load,0,25000,630023
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round10/round1-workloadA-load/vm1.log,load,1,25000,317536
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round10/round1-workloadA-load/vm2.log,load,2,25000,317578
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round10/round1-workloadA-load/vm3.log,load,3,25000,318370
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round10/round1-workloadA-run/vm0.log,run,0,25000,383778
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round10/round1-workloadA-run/vm1.log,run,1,25000,375830
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round10/round1-workloadA-run/vm2.log,run,2,25000,394456
/root/code/tigon2/exp_data/formal-e2e-ycsb/logs-10/round10/round1-workloadA-run/vm3.log,run,3,25000,374726
